gene,SAMD00019034,SAMD00019035,SAMD00019033,SAMD00019036,SAMD00019037,SAMD00019042,SAMD00019043,SAMD00019040,SAMD00019041,SAMD00019039,SAMD00019038
Pseudomonas aeruginosa soxR,2,2,2,2,2,2,2,2,2,2,2
Pseudomonas aeruginosa CpxR,2,2,2,2,2,2,2,2,2,2,2
TriB,2,2,2,2,2,2,2,2,2,2,2
cprR,2,2,2,2,2,2,2,2,2,2,2
MuxB,2,2,2,2,2,2,2,2,2,2,2
MuxC,2,2,2,2,2,2,2,2,2,2,2
mexG,2,2,2,2,2,2,2,2,2,2,2
rsmA,2,2,2,2,2,2,2,2,2,2,2
OpmH,2,2,2,2,2,2,2,2,2,2,2
Pseudomonas aeruginosa emrE,2,2,2,2,2,2,2,2,2,2,2
MexA,2,2,2,2,2,2,2,2,2,2,2
YajC,2,2,2,2,2,2,2,2,2,2,2
OprM,2,2,2,2,2,2,2,2,2,2,2
OXA-488,0,0,0,0,0,2,2,2,2,2,2
OpmB,1,1,1,1,1,2,2,2,2,2,2
MexF,1,1,1,1,1,2,2,2,2,2,2
mexK,1,1,1,1,1,2,2,2,2,2,2
mexL,1,1,1,1,1,2,2,2,2,2,2
sul1,1,1,1,1,1,0,0,0,0,0,0
mexM,1,1,1,1,1,0,0,0,0,0,0
AAC(6')-Ib8,1,1,1,1,1,0,0,0,0,0,0
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,1,1,1,1,1,0,0,0,0,0,0
qacEdelta1,2,2,2,2,2,0,0,0,0,0,0
PDC-11,2,2,2,2,2,0,0,0,0,0,0
IMP-44,2,2,2,2,2,0,0,0,0,0,0
OXA-846,2,2,2,2,2,0,0,0,0,0,0
ArmR,0,0,0,0,0,1,1,1,1,0,0
PDC-104,0,0,0,0,0,1,1,1,1,1,1
basR,0,0,0,0,0,1,1,1,1,1,1
MuxA,2,2,2,2,2,1,1,1,1,1,1
mexH,2,2,2,2,2,1,1,1,1,1,1
fosA,2,2,2,2,2,1,1,1,1,1,1
mexZ,1,1,1,1,1,1,1,1,1,1,1
MexT,1,1,1,1,1,1,1,1,1,1,1
MexS,1,1,1,1,1,1,1,1,1,1,1
mexR,1,1,1,1,1,1,1,1,1,1,1
Type B NfxB,1,1,1,1,1,1,1,1,1,1,1
nalC,1,1,1,1,1,1,1,1,1,1,1
nalD,1,1,1,1,1,1,1,1,1,1,1
opmE,1,1,1,1,1,1,1,1,1,1,1
mexQ,1,1,1,1,1,1,1,1,1,1,1
mexP,1,1,1,1,1,1,1,1,1,1,1
mexY,1,1,1,1,1,1,1,1,1,1,1
Trimethoprim-resistant dihydrofolate reductase DfrA43,1,1,1,1,1,1,1,1,1,1,1
basS,1,1,1,1,1,1,1,1,1,1,1
TriA,1,1,1,1,1,1,1,1,1,1,1
TriC,1,1,1,1,1,1,1,1,1,1,1
Pseudomonas aeruginosa catB7,1,1,1,1,1,1,1,1,1,1,1
cprS,1,1,1,1,1,1,1,1,1,1,1
ParR,1,1,1,1,1,1,1,1,1,1,1
ParS,1,1,1,1,1,1,1,1,1,1,1
OprN,1,1,1,1,1,1,1,1,1,1,1
MexE,1,1,1,1,1,1,1,1,1,1,1
APH(3')-IIb,1,1,1,1,1,1,1,1,1,1,1
bcr-1,1,1,1,1,1,1,1,1,1,1,1
mexI,1,1,1,1,1,1,1,1,1,1,1
opmD,1,1,1,1,1,1,1,1,1,1,1
MexB,1,1,1,1,1,1,1,1,1,1,1
mexV,1,1,1,1,1,1,1,1,1,1,1
mexW,1,1,1,1,1,1,1,1,1,1,1
OprJ,1,1,1,1,1,1,1,1,1,1,1
MexD,1,1,1,1,1,1,1,1,1,1,1
MexC,1,1,1,1,1,1,1,1,1,1,1
mexJ,1,1,1,1,1,1,1,1,1,1,1
arnA,1,1,1,1,1,1,1,1,1,1,1
mexN,1,1,1,1,1,1,1,1,1,1,1
PmpM,1,1,1,1,1,1,1,1,1,1,1
